dns.id	ip.src	ip.dst	frame.time_epoch	dns.qry.type	dns.qry.name.len	dns.qry.name	frame.len	dns.resp.ttl	dns.cname	dns.a	dns.aaaa	dns.txt
"0x0000038f"	"187.124.15.148"	"187.124.9.144"	"1505818664.899662000"	"16"	"241"	"3.1o19sr00or19oooqp3741spqr8730r949677q7s9so7s45n9r61oo91o9343772.soop1r741p635393648s20q0s0s3sq1popn98sqpr6o661r2o3onp8244r4s1n8.n8185n9n6540np10363pp76q83961oq2s79q7rpns970o9576p.on46143qn4r293s4rp981n52101490p4284577q7.i.00.s.sophosxl.net"	"321"	"300"				"x c"
"0x00000226"	"207.124.27.243"	"187.124.15.148"	"1505818664.904056000"	"16"	"219"	"3.1o19sr00nn3osn8qp3742opqr84254233277q7s9so7s45n9r695n0qr927o8s2.n5qp8r741p635393648s29q02870452r9o0nrp5s36r4o1o0n2po69944r5r5n1.9p3n4o977prpqo49354s2r84q657.qpqq55981929s27n43290o4005ro016n16o28321.i.03.s.sophosxl.net"	"283"					
"0x00002151"	"187.124.15.148"	"187.124.55.186"	"1505818664.904190000"	"16"	"219"	"3.1o19sr00nn3osn8qp3742opqr84254233277q7s9so7s45n9r695n0qr927o8s2.n5qp8r741p635393648s29q02870452r9o0nrp5s36r4o1o0n2po69944r5r5n1.9p3n4o977prpqo49354s2r84q657.qpqq55981929s27n43290o4005ro016n16o28321.i.03.s.sophosxl.net"	"283"					
"0x00001ab5"	"187.124.15.148"	"187.124.27.211"	"1505818664.915029000"	"1"	"22"	"rum-static.pingdom.net"	"118"	"245,245"		"104.20.21.239,104.20.20.239"		
"0x0000d1ee"	"187.124.15.148"	"187.124.27.211"	"1505818664.915792000"	"1"	"22"	"rum-static.pingdom.net"	"118"	"245,245"		"104.20.21.239,104.20.20.239"		
"0x0000b6d9"	"203.219.233.150"	"187.124.15.148"	"1505818664.924710000"	"16"	"225"	"3.1o19sr00n5q1o665p3so0625r81spn895s77q7s9so7s45n9r698r845r88sq62.8s6p8r741p635393648s2q125s12qrn970o3pp1rs7245000926o79659o2o3n0.rn1933op29sosp65387q932p83973314n3.8qq2n42r5n3n6r7o32376snqr878sqor3n7n1qn4.i.03.s.sophosxl.net"	"407"	"300,300,300"				"x c"
"0x0000084d"	"187.124.15.148"	"187.124.45.219"	"1505818664.924881000"	"16"	"225"	"3.1o19sr00n5q1o665p3so0625r81spn895s77q7s9so7s45n9r698r845r88sq62.8s6p8r741p635393648s2q125s12qrn970o3pp1rs7245000926o79659o2o3n0.rn1933op29sosp65387q932p83973314n3.8qq2n42r5n3n6r7o32376snqr878sqor3n7n1qn4.i.03.s.sophosxl.net"	"305"	"300"				"x c"
"0x0000fc82"	"207.126.93.146"	"187.124.15.148"	"1505818664.925862000"	"16"	"242"	"4.1o18sr00or19oooqp3741spqr8730r949677q7s9so7s45n9r61oo91o9343772.soop1r741p635393648s2s8792276n423qq39s26s94o8r04o6pos60q01543r4.po056r8009snqp637558no01nqo3162qps427qqn9470o9576p36r099ooq8091.1qq021r2906.4s303974q10n8455.i.00.s.sophosxl.net"	"424"	"300,300,300"				"x u"
"0x0000749f"	"187.124.15.148"	"187.124.9.144"	"1505818664.926021000"	"16"	"242"	"4.1o18sr00or19oooqp3741spqr8730r949677q7s9so7s45n9r61oo91o9343772.soop1r741p635393648s2s8792276n423qq39s26s94o8r04o6pos60q01543r4.po056r8009snqp637558no01nqo3162qps427qqn9470o9576p36r099ooq8091.1qq021r2906.4s303974q10n8455.i.00.s.sophosxl.net"	"322"	"300"				"x u"
"0x00009807"	"9.110.77.189"	"187.124.15.148"	"1505818664.934350000"	"1"	"23"	"e10883.g.akamaiedge.net"	"103"	"20"		"92.122.200.75"		
